"","year","model","temp","scenario"
"425",2047,"CCSM4",69.88766479,"rcp45"
"426",2048,"CCSM4",67.40816498,"rcp45"
"427",2049,"CCSM4",67.68431091,"rcp45"
"428",2050,"CCSM4",69.81933594,"rcp45"
"429",2051,"CCSM4",69.29693604,"rcp45"
"430",2052,"CCSM4",67.17756653,"rcp45"
"431",2053,"CCSM4",68.86605072,"rcp45"
"432",2054,"CCSM4",70.55992126,"rcp45"
"433",2055,"CCSM4",69.32131958,"rcp45"
"434",2056,"CCSM4",69.71902466,"rcp45"
"435",2057,"CCSM4",68.61880493,"rcp45"
"436",2058,"CCSM4",69.48854065,"rcp45"
"437",2059,"CCSM4",69.35719299,"rcp45"
"438",2060,"CCSM4",68.0345459,"rcp45"
"439",2061,"CCSM4",67.89865112,"rcp45"
"440",2062,"CCSM4",70.99591064,"rcp45"
"441",2063,"CCSM4",67.10279846,"rcp45"
"442",2064,"CCSM4",69.3646698,"rcp45"
"443",2035,"CESM1.BGC",67.48138428,"rcp45"
"444",2036,"CESM1.BGC",68.07876587,"rcp45"
"445",2037,"CESM1.BGC",65.29867554,"rcp45"
"446",2038,"CESM1.BGC",68.51371765,"rcp45"
"447",2039,"CESM1.BGC",67.3918457,"rcp45"
"448",2040,"CESM1.BGC",66.63516235,"rcp45"
"449",2041,"CESM1.BGC",67.34037781,"rcp45"
"450",2042,"CESM1.BGC",67.5692749,"rcp45"
"451",2043,"CESM1.BGC",68.95817566,"rcp45"
"452",2044,"CESM1.BGC",68.06926727,"rcp45"
"453",2045,"CESM1.BGC",68.1604538,"rcp45"
"454",2046,"CESM1.BGC",67.35372925,"rcp45"
"455",2047,"CESM1.BGC",67.74006653,"rcp45"
"456",2048,"CESM1.BGC",69.11357117,"rcp45"
"457",2049,"CESM1.BGC",69.48304749,"rcp45"
"458",2050,"CESM1.BGC",68.63023376,"rcp45"
"459",2051,"CESM1.BGC",69.30819702,"rcp45"
"460",2052,"CESM1.BGC",69.65179443,"rcp45"
"461",2053,"CESM1.BGC",69.49963379,"rcp45"
"462",2054,"CESM1.BGC",68.23181152,"rcp45"
"463",2055,"CESM1.BGC",67.81416321,"rcp45"
"464",2056,"CESM1.BGC",68.71910858,"rcp45"
"465",2057,"CESM1.BGC",69.28918457,"rcp45"
"466",2058,"CESM1.BGC",66.95135498,"rcp45"
"467",2059,"CESM1.BGC",68.52404785,"rcp45"
"468",2060,"CESM1.BGC",68.04003906,"rcp45"
"469",2061,"CESM1.BGC",68.70367432,"rcp45"
"470",2062,"CESM1.BGC",70.51878357,"rcp45"
"471",2063,"CESM1.BGC",67.68062592,"rcp45"
"472",2064,"CESM1.BGC",67.44606781,"rcp45"
"473",2035,"CMCC.CMS",66.43120575,"rcp45"
"474",2036,"CMCC.CMS",66.95800018,"rcp45"
"475",2037,"CMCC.CMS",69.30451965,"rcp45"
"476",2038,"CMCC.CMS",67.3601532,"rcp45"
"477",2039,"CMCC.CMS",67.86244965,"rcp45"
"478",2040,"CMCC.CMS",66.82231903,"rcp45"
"479",2041,"CMCC.CMS",67.9683075,"rcp45"
"480",2042,"CMCC.CMS",66.90554047,"rcp45"
"481",2043,"CMCC.CMS",68.0901413,"rcp45"
"482",2044,"CMCC.CMS",67.75830078,"rcp45"
"483",2045,"CMCC.CMS",67.31510925,"rcp45"
"484",2046,"CMCC.CMS",67.16075134,"rcp45"
"485",2047,"CMCC.CMS",65.90072632,"rcp45"
"486",2048,"CMCC.CMS",68.66280365,"rcp45"
"487",2049,"CMCC.CMS",66.28085327,"rcp45"
"488",2050,"CMCC.CMS",65.62057495,"rcp45"
"489",2051,"CMCC.CMS",71.57165527,"rcp45"
"490",2052,"CMCC.CMS",67.88069153,"rcp45"
"491",2053,"CMCC.CMS",68.30311584,"rcp45"
"492",2054,"CMCC.CMS",69.91485596,"rcp45"
"493",2055,"CMCC.CMS",70.30822754,"rcp45"
"494",2056,"CMCC.CMS",67.22238159,"rcp45"
"495",2057,"CMCC.CMS",68.59825897,"rcp45"
"496",2058,"CMCC.CMS",69.03194427,"rcp45"
"497",2059,"CMCC.CMS",70.61408997,"rcp45"
"498",2060,"CMCC.CMS",68.39825439,"rcp45"
"499",2061,"CMCC.CMS",69.05863953,"rcp45"
"500",2062,"CMCC.CMS",68.60369873,"rcp45"
"501",2063,"CMCC.CMS",70.46060181,"rcp45"
"502",2064,"CMCC.CMS",67.03330994,"rcp45"
"503",2035,"CNRM.CM5",65.33526611,"rcp45"
"504",2036,"CNRM.CM5",65.98609924,"rcp45"
"505",2037,"CNRM.CM5",67.26039886,"rcp45"
"506",2038,"CNRM.CM5",65.47994995,"rcp45"
"507",2039,"CNRM.CM5",65.72775269,"rcp45"
"508",2040,"CNRM.CM5",67.1448822,"rcp45"
"509",2041,"CNRM.CM5",66.52019501,"rcp45"
"510",2042,"CNRM.CM5",69.31846619,"rcp45"
"511",2043,"CNRM.CM5",68.06471252,"rcp45"
"512",2044,"CNRM.CM5",66.49717712,"rcp45"
"513",2045,"CNRM.CM5",65.3785553,"rcp45"
"514",2046,"CNRM.CM5",66.49432373,"rcp45"
"515",2047,"CNRM.CM5",68.93032074,"rcp45"
"516",2048,"CNRM.CM5",68.41275024,"rcp45"
"517",2049,"CNRM.CM5",67.51402283,"rcp45"
"518",2050,"CNRM.CM5",68.39578247,"rcp45"
"519",2051,"CNRM.CM5",67.17454529,"rcp45"
"520",2052,"CNRM.CM5",70.2348938,"rcp45"
"521",2053,"CNRM.CM5",68.34431458,"rcp45"
"522",2054,"CNRM.CM5",68.86764526,"rcp45"
"523",2055,"CNRM.CM5",67.04412842,"rcp45"
