"","year","model","precip","scenario","precipcm"
"293",1964,"HadGEM2.ES",9.880130765,"hist",25.0955321431
"294",1965,"HadGEM2.ES",7.640486016,"hist",19.40683448064
"295",1966,"HadGEM2.ES",6.200273141,"hist",15.74869377814
"296",1967,"HadGEM2.ES",11.67909298,"hist",29.6648961692
"297",1968,"HadGEM2.ES",13.29881972,"hist",33.7790020888
"298",1969,"HadGEM2.ES",18.72547251,"hist",47.5627001754
"299",1970,"HadGEM2.ES",11.17180495,"hist",28.376384573
"300",1971,"HadGEM2.ES",9.571022883,"hist",24.31039812282
"301",1972,"HadGEM2.ES",7.673428046,"hist",19.49050723684
"302",1973,"HadGEM2.ES",9.464752147,"hist",24.04047045338
"303",1974,"HadGEM2.ES",7.984407814,"hist",20.28039584756
"304",1975,"HadGEM2.ES",7.715386279,"hist",19.59708114866
"305",1976,"HadGEM2.ES",13.44634594,"hist",34.1537186876
"306",1977,"HadGEM2.ES",11.51938595,"hist",29.259240313
"307",1978,"HadGEM2.ES",13.49604013,"hist",34.2799419302
"308",1979,"HadGEM2.ES",12.57159959,"hist",31.9318629586
"309",1980,"HadGEM2.ES",8.775206923,"hist",22.28902558442
"310",1981,"HadGEM2.ES",10.88284442,"hist",27.6424248268
"311",1982,"HadGEM2.ES",9.554569194,"hist",24.26860575276
"312",1983,"HadGEM2.ES",8.831273039,"hist",22.43143351906
"313",1984,"HadGEM2.ES",8.82109055,"hist",22.405569997
"314",1985,"HadGEM2.ES",8.995456828,"hist",22.84846034312
"315",1986,"HadGEM2.ES",6.008682962,"hist",15.26205472348
"316",1987,"HadGEM2.ES",7.488731426,"hist",19.02137782204
"317",1988,"HadGEM2.ES",10.94448032,"hist",27.7989800128
"318",1989,"HadGEM2.ES",14.19218455,"hist",36.048148757
"319",1990,"HadGEM2.ES",11.67430173,"hist",29.6527263942
"320",1991,"HadGEM2.ES",9.770990615,"hist",24.8183161621
"321",1960,"MIROC5",13.66470999,"hist",34.7083633746
"322",1961,"MIROC5",8.060000263,"hist",20.47240066802
"323",1962,"MIROC5",9.136358618,"hist",23.20635088972
"324",1963,"MIROC5",7.782342573,"hist",19.76715013542
"325",1964,"MIROC5",10.12812032,"hist",25.7254256128
"326",1965,"MIROC5",14.96672974,"hist",38.0154935396
"327",1966,"MIROC5",9.004397868,"hist",22.87117058472
"328",1967,"MIROC5",8.195344708,"hist",20.81617555832
"329",1968,"MIROC5",8.097003909,"hist",20.56638992886
"330",1969,"MIROC5",7.967235987,"hist",20.23677940698
"331",1970,"MIROC5",11.39771623,"hist",28.9501992242
"332",1971,"MIROC5",9.837113577,"hist",24.98626848558
"333",1972,"MIROC5",8.948430148,"hist",22.72901257592
"334",1973,"MIROC5",10.66238157,"hist",27.0824491878
"335",1974,"MIROC5",11.17533483,"hist",28.3853504682
"336",1975,"MIROC5",14.32287437,"hist",36.3801008998
"337",1976,"MIROC5",11.56118981,"hist",29.3654221174
"338",1977,"MIROC5",7.640498426,"hist",19.40686600204
"339",1978,"MIROC5",9.119392834,"hist",23.16325779836
"340",1979,"MIROC5",14.07818213,"hist",35.7585826102
"341",1980,"MIROC5",12.3397695,"hist",31.34301453
"342",1981,"MIROC5",12.48910765,"hist",31.722333431
"343",1982,"MIROC5",7.873867564,"hist",19.99962361256
"344",1983,"MIROC5",10.14155099,"hist",25.7595395146
"345",1984,"MIROC5",11.06421426,"hist",28.1031042204
"346",1985,"MIROC5",15.34613629,"hist",38.9791861766
"347",1986,"MIROC5",11.08963936,"hist",28.1676839744
"348",1987,"MIROC5",9.454806664,"hist",24.01520892656
"349",1988,"MIROC5",8.543506048,"hist",21.70050536192
"350",1989,"MIROC5",11.15236677,"hist",28.3270115958
"351",1990,"MIROC5",8.808430901,"hist",22.37341448854
"352",1991,"MIROC5",11.70861607,"hist",29.7398848178
"353",2035,"ACCESS1.0",9.015325749,"rcp45",22.89892740246
"354",2036,"ACCESS1.0",6.365967967,"rcp45",16.16955863618
"355",2037,"ACCESS1.0",9.554464183,"rcp45",24.26833902482
"356",2038,"ACCESS1.0",16.07661644,"rcp45",40.8346057576
"357",2039,"ACCESS1.0",10.05376648,"rcp45",25.5365668592
"358",2040,"ACCESS1.0",6.430625124,"rcp45",16.33378781496
"359",2041,"ACCESS1.0",9.681254854,"rcp45",24.59038732916
"360",2042,"ACCESS1.0",13.89075306,"rcp45",35.2825127724
"361",2043,"ACCESS1.0",11.62430388,"rcp45",29.5257318552
"362",2044,"ACCESS1.0",10.86816672,"rcp45",27.6051434688
"363",2045,"ACCESS1.0",9.499898691,"rcp45",24.12974267514
"364",2046,"ACCESS1.0",9.69524461,"rcp45",24.6259213094
"365",2047,"ACCESS1.0",7.200495306,"rcp45",18.28925807724
"366",2048,"ACCESS1.0",9.087983276,"rcp45",23.08347752104
"367",2049,"ACCESS1.0",10.96014875,"rcp45",27.838777825
"368",2050,"ACCESS1.0",11.78389575,"rcp45",29.931095205
"369",2051,"ACCESS1.0",6.403781519,"rcp45",16.26560505826
"370",2052,"ACCESS1.0",16.56639642,"rcp45",42.0786469068
"371",2053,"ACCESS1.0",9.793276639,"rcp45",24.87492266306
"372",2054,"ACCESS1.0",6.012879075,"rcp45",15.2727128505
"373",2055,"ACCESS1.0",17.91332699,"rcp45",45.4998505546
"374",2056,"ACCESS1.0",13.56408023,"rcp45",34.4527637842
"375",2057,"ACCESS1.0",14.63261001,"rcp45",37.1668294254
"376",2058,"ACCESS1.0",8.540474181,"rcp45",21.69280441974
"377",2059,"ACCESS1.0",8.146649912,"rcp45",20.69249077648
"378",2060,"ACCESS1.0",8.592383482,"rcp45",21.82465404428
"379",2061,"ACCESS1.0",7.308524758,"rcp45",18.56365288532
"380",2062,"ACCESS1.0",9.481921711,"rcp45",24.08408114594
"381",2063,"ACCESS1.0",11.74638803,"rcp45",29.8358255962
"382",2064,"ACCESS1.0",14.31852383,"rcp45",36.3690505282
"383",2035,"CanESM2",13.05604942,"rcp45",33.1623655268
"384",2036,"CanESM2",14.41769519,"rcp45",36.6209457826
"385",2037,"CanESM2",19.68425447,"rcp45",49.9980063538
"386",2038,"CanESM2",10.82091764,"rcp45",27.4851308056
"387",2039,"CanESM2",9.674802566,"rcp45",24.57399851764
"388",2040,"CanESM2",14.98497978,"rcp45",38.0618486412
"389",2041,"CanESM2",9.3418465,"rcp45",23.72829011
"390",2042,"CanESM2",13.01381822,"rcp45",33.0550982788
"391",2043,"CanESM2",8.603475992,"rcp45",21.85282901968
"392",2044,"CanESM2",12.2533603,"rcp45",31.123535162
"393",2045,"CanESM2",14.65038708,"rcp45",37.2119831832
"394",2046,"CanESM2",15.64621607,"rcp45",39.7413888178
"395",2047,"CanESM2",12.22332863,"rcp45",31.0472547202
"396",2048,"CanESM2",15.81422536,"rcp45",40.1681324144
"397",2049,"CanESM2",11.02017059,"rcp45",27.9912332986
"398",2050,"CanESM2",12.49562093,"rcp45",31.7388771622
"399",2051,"CanESM2",11.28421743,"rcp45",28.6619122722
"400",2052,"CanESM2",13.50376826,"rcp45",34.2995713804
"401",2053,"CanESM2",10.02429759,"rcp45",25.4617158786
"402",2054,"CanESM2",12.74916614,"rcp45",32.3828819956
"403",2055,"CanESM2",13.18353454,"rcp45",33.4861777316
"404",2056,"CanESM2",12.4058845,"rcp45",31.51094663
"405",2057,"CanESM2",12.76210685,"rcp45",32.415751399
"406",2058,"CanESM2",14.22852238,"rcp45",36.1404468452
"407",2059,"CanESM2",15.32803396,"rcp45",38.9332062584
"408",2060,"CanESM2",15.02471105,"rcp45",38.162766067
"409",2061,"CanESM2",13.42503452,"rcp45",34.0995876808
"410",2062,"CanESM2",14.69915977,"rcp45",37.3358658158
"411",2063,"CanESM2",9.91213126,"rcp45",25.1768134004
"412",2064,"CanESM2",10.08852491,"rcp45",25.6248532714
"413",2035,"CCSM4",11.71213354,"rcp45",29.7488191916
"414",2036,"CCSM4",5.494579868,"rcp45",13.95623286472
"415",2037,"CCSM4",4.815764558,"rcp45",12.23204197732
"416",2038,"CCSM4",9.756868765,"rcp45",24.7824466631
"417",2039,"CCSM4",14.81317799,"rcp45",37.6254720946
"418",2040,"CCSM4",9.724422506,"rcp45",24.70003316524
"419",2041,"CCSM4",13.65773005,"rcp45",34.690634327
"420",2042,"CCSM4",13.98876027,"rcp45",35.5314510858
"421",2043,"CCSM4",10.43324756,"rcp45",26.5004488024
"422",2044,"CCSM4",8.107523554,"rcp45",20.59310982716
"423",2045,"CCSM4",10.9584561,"rcp45",27.834478494
"424",2046,"CCSM4",6.546471406,"rcp45",16.62803737124
"425",2047,"CCSM4",6.713016928,"rcp45",17.05106299712
"426",2048,"CCSM4",15.91476907,"rcp45",40.4235134378
"427",2049,"CCSM4",13.71508469,"rcp45",34.8363151126
"428",2050,"CCSM4",9.664508727,"rcp45",24.54785216658
"429",2051,"CCSM4",6.955952131,"rcp45",17.66811841274
"430",2052,"CCSM4",10.42739289,"rcp45",26.4855779406
"431",2053,"CCSM4",9.848528696,"rcp45",25.01526288784
"432",2054,"CCSM4",7.377007737,"rcp45",18.73759965198
"433",2055,"CCSM4",9.839822534,"rcp45",24.99314923636
